variable,n,method,age,education_num,hours_per_week
age,3000,pearson,1.0,0.23434275236501054,-0.037972923766265806
education_num,3000,pearson,0.23434275236501054,1.0,0.21772784298312578
hours_per_week,3000,pearson,-0.037972923766265806,0.21772784298312578,1.0
age,3000,spearman,1.0,0.24925608635343016,0.06404837639915191
education_num,3000,spearman,0.24925608635343016,1.0,0.21395346122502676
hours_per_week,3000,spearman,0.06404837639915191,0.21395346122502676,1.0
age,5000,pearson,1.0,0.24712703143552603,-0.029931165129702578
education_num,5000,pearson,0.24712703143552603,1.0,0.2142177115578967
hours_per_week,5000,pearson,-0.029931165129702578,0.2142177115578967,1.0
age,5000,spearman,1.0,0.26150369116102384,0.06391537754381017
education_num,5000,spearman,0.26150369116102384,1.0,0.20698156013842223
hours_per_week,5000,spearman,0.06391537754381017,0.20698156013842223,1.0
age,10000,pearson,1.0,0.2620574776949996,-0.039012363779504844
education_num,10000,pearson,0.2620574776949996,1.0,0.2128037616304208
hours_per_week,10000,pearson,-0.039012363779504844,0.2128037616304208,1.0
age,10000,spearman,1.0,0.27664139547828115,0.0496998865243819
education_num,10000,spearman,0.27664139547828115,1.0,0.20761899625512953
hours_per_week,10000,spearman,0.0496998865243819,0.20761899625512953,1.0
